type,location,restaurant list
Takeaway,Indiranagar,['Asha Sweets Center']
Takeaway,MG Road,['The Brekkie Shop']
Takeaway,Sahakara Nagar,"['Shree Mahalakshmi Sweets', 'KHOPCHA']"
Takeaway,Sarjapur Road,['Dosa Time']
Takeaway,South Bangalore,['Hyderabad Biryaani Home']
"Takeaway, Delivery",BTM,"['Empire Restaurant', 'BOX8- Desi Meals', 'Mojo Pizza - 2X Toppings', 'Fish Chain', 'The Cheesecake Corner', 'Al-Bek', 'Easy Bites', 'Ghee Biryanis']"
"Takeaway, Delivery",Banashankari,['BOX8- Desi Meals']
"Takeaway, Delivery",Banaswadi,"[""Leon's Take Away""]"
"Takeaway, Delivery",Bannerghatta Road,"['BOX8- Desi Meals', 'Mojo Pizza - 2X Toppings', 'Biryani Durbar', 'Deejas Kitchen']"
"Takeaway, Delivery",Basaveshwara Nagar,"[""Chawla's 2 Online.com""]"
"Takeaway, Delivery",Bellandur,"['BOX8- Desi Meals', 'Mojo Pizza - 2X Toppings']"
"Takeaway, Delivery",Brookefield,['BOX8- Desi Meals']
"Takeaway, Delivery",Ejipura,['Mid Night Hunting']
"Takeaway, Delivery",Electronic City,"['BOX8- Desi Meals', ""Fresh 'N' Grills""]"
"Takeaway, Delivery",Frazer Town,"[""Bozo's Yum Yums"", 'Eat At Nite', ""Sadi's Biriyani""]"
"Takeaway, Delivery",HSR,"['Mid-Night Crunch', 'Empire Restaurant', 'BOX8- Desi Meals', 'Fish Chain', '56 Bhoga Sweets', 'Dhaba Express', 'Kitchens@HSR', 'Al-Bek', 'The Litti Company']"
"Takeaway, Delivery","ITPL Main Road, Whitefield","['Mojo Pizza - 2X Toppings', 'Delhi Kitchen']"
"Takeaway, Delivery",Indiranagar,"['BOX8- Desi Meals', 'Mojo Pizza - 2X Toppings', 'Mota Bawarchi', 'La Madeleine Patisserie']"
"Takeaway, Delivery",JP Nagar,"['Smoke-A-Pot', 'Fish Chain', 'Mojo Pizza - 2X Toppings', 'Al-Bek', 'Easy Bites', 'Kitchens@JP Nagar', 'Rara Avis']"
"Takeaway, Delivery",Jeevan Bhima Nagar,"['No More Hungry', 'The Tower Of Pizza']"
"Takeaway, Delivery",Kaggadasapura,"['Longlive Pizza', 'Agraharam Meal']"
"Takeaway, Delivery",Kammanahalli,['BOX8- Desi Meals']
"Takeaway, Delivery",Koramangala 1st Block,"['Truly Punjab', 'Hatti Punjab Di', 'Vegan Heat']"
"Takeaway, Delivery",Koramangala 4th Block,['Maa Bhook Lagi']
"Takeaway, Delivery",Koramangala 5th Block,"['Sulemani Chichas', 'BOX8- Desi Meals']"
"Takeaway, Delivery",Koramangala 6th Block,['Mojo Pizza - 2X Toppings']
"Takeaway, Delivery",Marathahalli,"['Chatora', 'Wok Steam & Grills', 'Absolute Shawarma']"
"Takeaway, Delivery",Nagawara,['Foodies Choice']
"Takeaway, Delivery",New BEL Road,"['BOX8- Desi Meals', 'Mojo Pizza - 2X Toppings']"
"Takeaway, Delivery",Old Airport Road,"['BOX8- Desi Meals', 'Mojo Pizza - 2X Toppings', 'Stuffd']"
"Takeaway, Delivery",Rajajinagar,"['Faasos', 'BOX8- Desi Meals', 'Ovenstory Pizza', 'Mojo Pizza - 2X Toppings']"
"Takeaway, Delivery",Residency Road,"['BOX8- Desi Meals', 'Mojo Pizza - 2X Toppings']"
"Takeaway, Delivery",Sanjay Nagar,['The Good Bowl']
"Takeaway, Delivery",Sarjapur Road,['Foodbell']
"Takeaway, Delivery","Varthur Main Road, Whitefield","['Fish Chain', 'Al-Bek', 'Easy Bites', 'Kitchens@Whitefield']"
"Takeaway, Delivery",Vasanth Nagar,['Tadkawala']
"Takeaway, Delivery",Whitefield,"['BOX8- Desi Meals', 'Mojo Pizza - 2X Toppings', 'Chandrika Tiffins', 'Lucky Singh & Co', '4700BC Popcorn']"
